,OBJECTID,GEOCODIG_M,UF,Sigla,Nome_Munic,Região,Mesorregiã,Nome_Meso,Microrregi,Nome_Micro,Shape_Leng,Shape_Area,geometry,PRECTOT,QV2M,RH2M,PS,T2M_MAX,T2M_MIN,T2M,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,T2M_MAX_MAXIMO,WS50M_MAX_MAXIMO,WS10M_MAX_MAXIMO,T2M_MIN_MINIMO,WS50M_MIN_MINIMO,WS10M_MIN_MINIMO,PRECTOT_SUM,IDH,POPULACAO,SRF_ALB,DNR,DIFF,KT,ALLSKY_SFC_SW_DWN,SG_DAY_HOUR_AVG
0,1,2500106.0,25,PB,Água Branca,Nordeste,2501,Sertão Paraibano,25007,Serra do Teixeira,0.729660545108,0.0193366295498,"POLYGON ((-37.70375999999851 -7.373179999998683, -37.69231999999829 -7.378929999998945, -37.67196999999942 -7.376469999999244, -37.64947999999822 -7.402239999999438, -37.64164999999775 -7.411959999999453, -37.61192999999912 -7.4110299999993, -37.60853999999927 -7.410719999998037, -37.59531999999854 -7.417009999999209, -37.59298999999919 -7.428569999998217, -37.57030999999915 -7.453479999998308, -37.56992999999784 -7.453899999998612, -37.56819999999789 -7.455799999997907, -37.57366999999795 -7.458859999998822, -37.56540999999925 -7.482509999998001, -37.57144999999946 -7.488689999998314, -37.57143999999789 -7.488709999997809, -37.58637999999883 -7.49869999999828, -37.60941999999886 -7.507619999998496, -37.61102999999821 -7.518159999997806, -37.61959999999817 -7.525469999998677, -37.63002999999844 -7.532099999998536, -37.64419999999882 -7.529469999997673, -37.64947999999822 -7.529899999997724, -37.65917999999874 -7.522729999998774, -37.67628999999943 -7.535209999998187, -37.68179999999847 -7.547969999997804, -37.70615999999791 -7.550179999998363, -37.70973999999842 -7.559119999998074, -37.70622999999796 -7.56905999999799, -37.71065999999882 -7.573349999998754, -37.72067999999854 -7.581489999998666, -37.7283899999984 -7.579319999998916, -37.73459999999795 -7.596809999999095, -37.74941999999828 -7.566229999998541, -37.74941999999828 -7.556329999999434, -37.7320699999982 -7.544879999997647, -37.7270099999987 -7.54149999999936, -37.70528999999806 -7.475989999999001, -37.70054999999775 -7.461689999998271, -37.71097999999802 -7.436289999997825, -37.72645999999804 -7.431879999998273, -37.72431999999935 -7.408739999998943, -37.72690999999941 -7.393749999999272, -37.72011999999813 -7.384439999997994, -37.72101999999904 -7.38191999999799, -37.71118999999817 -7.381109999998444, -37.70650999999816 -7.385049999998955, -37.70375999999851 -7.373179999998683))",1.9585797305280408,0.012558101781625136,59.1508430382916,94.92238623008272,33.04625541968785,19.43393267461838,25.48082082605011,4.661741299734372,3.2379756604805845,8.406702432511235,6.520094323461993,6.390374640498066,4.77322688042073,39.02,13.79,11.02,13.57,0.03,0.02,25608.610000000004,0.564,10 161,0.19,5.97,1.86,0.59,5.9,12.105833333333335
1,2,2500205.0,25,PB,Aguiar,Nordeste,2501,Sertão Paraibano,25005,Piancó,0.969733731118,0.0281515602,"POLYGON ((-38.20503999999892 -7.009809999997742, -38.15628999999899 -7.009439999997994, -38.13221999999769 -7.007739999999103, -38.08966999999939 -7.012439999998605, -38.08874999999898 -7.014629999997851, -38.05821999999898 -7.087049999998271, -38.09126999999899 -7.090269999998782, -38.09460999999828 -7.090769999998884, -38.09791999999834 -7.086459999998624, -38.10643999999775 -7.087519999999131, -38.12361999999848 -7.086319999998523, -38.129719999999 -7.090159999997923, -38.1335399999989 -7.087389999998777, -38.14320999999836 -7.087839999998323, -38.15316999999777 -7.098959999999352, -38.16055999999844 -7.108049999998912, -38.17542999999932 -7.107799999997951, -38.18099999999868 -7.118509999998423, -38.18678999999793 -7.117929999998523, -38.18760999999904 -7.114119999998366, -38.19809999999779 -7.120299999998679, -38.20415999999932 -7.119829999997819, -38.23248999999851 -7.131129999997938, -38.23131999999896 -7.146299999998519, -38.22713999999905 -7.151059999998324, -38.17175999999927 -7.160549999998693, -38.23009999999886 -7.157139999999345, -38.24263999999857 -7.166909999998097, -38.27202999999827 -7.17739999999867, -38.29121999999916 -7.174849999999424, -38.29535999999825 -7.157489999997779, -38.29547999999886 -7.156419999999343, -38.2944299999981 -7.144689999999173, -38.28395999999884 -7.129099999998289, -38.30146999999852 -7.127229999998235, -38.33093999999801 -7.142189999998664, -38.33104999999887 -7.115869999997813, -38.33108999999786 -7.10703999999896, -38.33127999999851 -7.106259999998656, -38.32154999999875 -7.096229999999196, -38.31789999999819 -7.083969999997862, -38.30949999999939 -7.082329999999274, -38.33534999999938 -7.063849999998638, -38.3223599999983 -7.06231999999909, -38.29764999999861 -7.036039999999048, -38.28385999999773 -7.011639999998806, -38.27712999999858 -7.003929999998945, -38.26227999999901 -6.99282999999923, -38.2536999999993 -6.994299999998475, -38.2299099999982 -7.002709999998842, -38.20503999999892 -7.009809999997742))",2.175854682561753,0.012812807229746995,57.411537520194386,96.3704769536208,33.81523958192329,20.513466097263176,26.676508168369523,4.254979265308993,2.723119966972906,8.08827804507458,6.1644876511943485,5.9821783838916645,4.345524353313402,39.74,13.22,10.65,14.77,0.05,0.04,28432.03,0.56,5 571,0.16,5.6,1.92,0.57,5.7,12.106666666666666
2,3,2500304.0,25,PB,Alagoa Grande,Nordeste,2503,Agreste Paraibano,25015,Brejo Paraibano,0.789786963971,0.02630796895,"POLYGON ((-35.53464999999778 -7.009369999997944, -35.52335999999923 -7.03128999999899, -35.51501999999891 -7.030399999997826, -35.51012999999875 -7.031639999999243, -35.50666999999885 -7.025479999998424, -35.50110999999924 -7.025909999998476, -35.49684999999772 -7.033149999999296, -35.49083999999857 -7.066359999998895, -35.51427999999942 -7.062049999998635, -35.51111999999921 -7.070809999999256, -35.50456999999915 -7.075379999998404, -35.5070399999986 -7.083859999998822, -35.49996999999894 -7.094449999998687, -35.52326999999786 -7.104899999998452, -35.52578999999787 -7.109589999998207, -35.52677999999833 -7.114349999998012, -35.53275999999823 -7.120059999999285, -35.56920999999784 -7.122349999997823, -35.61349999999766 -7.133919999998398, -35.61374999999862 -7.133989999998448, -35.62411999999858 -7.132449999999153, -35.63495999999941 -7.132879999999204, -35.64745999999832 -7.144959999997809, -35.65274999999929 -7.139579999999114, -35.66003999999884 -7.13886999999886, -35.67192999999861 -7.146939999998722, -35.68020999999862 -7.148349999997663, -35.68834999999854 -7.135129999998753, -35.70214999999916 -7.112719999999172, -35.70760999999766 -7.103849999997692, -35.70762999999897 -7.090049999998882, -35.71094999999877 -7.088549999998577, -35.70486999999775 -7.081749999999374, -35.70507999999791 -7.072809999997844, -35.70116999999846 -7.061619999998584, -35.69580999999926 -7.063519999997879, -35.68317999999817 -7.046239999997852, -35.67135999999846 -7.04790999999932, -35.66627999999764 -7.037859999998545, -35.66150999999809 -7.034349999998085, -35.67816999999923 -7.039639999999054, -35.69124999999804 -7.035649999997986, -35.69275999999809 -7.027469999999084, -35.68358999999873 -7.025809999999183, -35.6722499999978 -7.017099999999118, -35.66532999999799 -7.012299999998504, -35.64350999999806 -6.984489999998914, -35.63674999999785 -6.980329999998503, -35.61259999999857 -6.97653999999784, -35.600629999999 -6.967539999997825, -35.59404999999788 -6.953159999999116, -35.59335999999894 -6.947809999997844, -35.58037999999942 -6.941489999999249, -35.57361999999921 -6.96947999999793, -35.55915999999888 -6.977259999997841, -35.55883999999787 -6.977689999997892, -35.55611999999928 -6.981239999999161, -35.53464999999778 -7.009369999997944))",2.3760224696066365,0.014362358269372153,71.72949215796555,97.57518493707731,31.190095994680057,20.54708205098306,24.807906841608734,5.5427757075150135,3.2716054764822955,8.433991171848794,7.027437039893924,6.894188867811677,5.1159590641693775,38.33,13.59,10.75,15.65,0.31,0.11,31194.2,0.609,28 623,0.21,4.89,2.02,0.54,5.34,12.105833333333333
3,4,2500403.0,25,PB,Alagoa Nova,Nordeste,2503,Agreste Paraibano,25015,Brejo Paraibano,0.500304435026,0.00992276655001,"POLYGON ((-35.79565999999795 -7.023329999998168, -35.78837999999814 -7.029309999998077, -35.77918999999929 -7.027349999998478, -35.76775999999882 -7.031239999998434, -35.76272999999856 -7.032949999998891, -35.7625999999982 -7.032999999999447, -35.75537999999869 -7.026629999998477, -35.75323999999819 -7.030859999998938, -35.74338999999782 -7.029179999997723, -35.73553999999785 -7.021639999999024, -35.71479999999792 -7.02498999999807, -35.71156999999766 -7.02324999999837, -35.69275999999809 -7.027469999999084, -35.69124999999804 -7.035649999997986, -35.67816999999923 -7.039639999999054, -35.66150999999809 -7.034349999998085, -35.66627999999764 -7.037859999998545, -35.67135999999846 -7.04790999999932, -35.68317999999817 -7.046239999997852, -35.69580999999926 -7.063519999997879, -35.70116999999846 -7.061619999998584, -35.70507999999791 -7.072809999997844, -35.70486999999775 -7.081749999999374, -35.71094999999877 -7.088549999998577, -35.71809999999823 -7.090699999998833, -35.72135999999773 -7.096369999999297, -35.72269999999844 -7.098539999999048, -35.75270999999884 -7.108069999998406, -35.76928999999836 -7.104189999998198, -35.77531999999883 -7.102239999998346, -35.79471999999805 -7.106259999998656, -35.79527999999846 -7.1056299999982, -35.80467999999928 -7.101419999999052, -35.81329999999798 -7.102129999999306, -35.81155999999828 -7.095159999998941, -35.81480999999803 -7.084719999998924, -35.8178599999992 -7.076689999998052, -35.81610999999793 -7.074889999998049, -35.82334999999875 -7.071859999998196, -35.8268999999982 -7.070379999999204, -35.83369999999923 -7.060129999998026, -35.84182999999939 -7.05630999999812, -35.8554099999983 -7.050319999998464, -35.8552099999979 -7.050179999998363, -35.84068999999909 -7.040789999999106, -35.83203999999932 -7.029119999999239, -35.82498999999916 -7.030209999998988, -35.80923999999868 -7.031889999998384, -35.80885999999919 -7.031789999999091, -35.79565999999795 -7.023329999998168))",2.3760224696066365,0.014362358269372153,71.72949215796555,97.57518493707731,31.190095994680057,20.54708205098306,24.807906841608734,5.5427757075150135,3.2716054764822955,8.433991171848794,7.027437039893924,6.894188867811677,5.1159590641693775,38.33,13.59,10.75,15.65,0.31,0.11,31194.2,0.612,20 589,0.21,4.89,2.02,0.54,5.34,12.11
4,5,2500502.0,25,PB,Alagoinha,Nordeste,2503,Agreste Paraibano,25016,Guarabira,0.444047659659,0.007824786899979999,"POLYGON ((-35.56344999999783 -6.907599999998638, -35.53410999999869 -6.928539999998975, -35.4790299999986 -6.923139999998966, -35.47236999999768 -6.923069999998916, -35.47164999999768 -6.935159999999087, -35.46555999999873 -6.952249999998457, -35.45839999999771 -6.957179999999425, -35.45989999999802 -6.963659999999436, -35.45917999999801 -6.973739999999452, -35.46337999999923 -6.981429999997999, -35.4793899999986 -6.98989999999867, -35.51895999999942 -6.985829999997804, -35.52362999999787 -6.991389999999228, -35.51493999999911 -7.005749999998443, -35.51971999999842 -7.018589999997857, -35.51496999999836 -7.022289999998975, -35.51501999999891 -7.030399999997826, -35.52335999999923 -7.03128999999899, -35.53464999999778 -7.009369999997944, -35.55611999999928 -6.981239999999161, -35.55883999999787 -6.977689999997892, -35.55915999999888 -6.977259999997841, -35.57361999999921 -6.96947999999793, -35.58037999999942 -6.941489999999249, -35.57970999999816 -6.940819999997984, -35.57090999999855 -6.93474999999853, -35.58234999999877 -6.919239999999263, -35.56344999999783 -6.907599999998638))",2.36556923410148,0.014506993992712854,71.49711785373418,97.8881107972213,31.35098311634473,20.90262972109908,25.07556225980072,5.851477345676558,3.5519196664601864,8.591434852474235,7.1551394613699735,7.14442509252393,5.3214285690376135,38.35,13.65,10.87,15.85,0.09,0.06,31036.83,0.573,14 367,0.22,4.97,2.02,0.54,5.38,12.11416666666667
5,6,2500536.0,25,PB,Alcantil,Nordeste,2502,Borborema,25011,Cariri Oriental,0.790909619879,0.025037083,"POLYGON ((-36.03239999999823 -7.58690999999817, -36.02102999999806 -7.591029999997772, -36.01850999999806 -7.59530999999879, -36.01656999999796 -7.588219999997818, -36.00617999999849 -7.589959999999337, -36.00318999999945 -7.587389999998777, -35.99013999999806 -7.595119999998133, -35.99085999999807 -7.601149999998597, -35.9758499999989 -7.613119999998162, -35.9710099999993 -7.624449999999342, -35.972389999999 -7.632669999999052, -35.96254999999837 -7.6395599999978, -35.96501999999782 -7.648349999997663, -35.95954999999776 -7.652279999998427, -35.97155999999814 -7.668379999999161, -35.977069999999 -7.684439999999086, -35.98189999999886 -7.6916999999994, -35.9810099999977 -7.694239999998899, -35.97445999999945 -7.694369999999253, -35.9758499999989 -7.706399999999121, -35.97883999999794 -7.705279999998311, -35.98096999999871 -7.717389999997977, -35.9838899999977 -7.717709999998988, -35.98726999999781 -7.726309999998193, -35.98518999999942 -7.731249999998909, -35.99212999999872 -7.730969999998706, -35.99098999999842 -7.73674999999821, -35.98491999999897 -7.737369999998919, -35.99262999999883 -7.74333999999908, -35.99598999999944 -7.762219999998706, -35.99998999999843 -7.762849999999162, -36.00537999999869 -7.758809999999357, -36.00763999999799 -7.761169999997946, -36.00965999999789 -7.757799999999406, -36.01102999999785 -7.765559999998004, -36.01463999999942 -7.764899999998306, -36.02968999999939 -7.785759999998845, -36.03123999999843 -7.794549999998708, -36.03507999999783 -7.795779999998558, -36.04291999999805 -7.793249999998807, -36.05353999999897 -7.80094999999892, -36.068659999999 -7.780559999999241, -36.10303999999815 -7.779019999998127, -36.11693999999807 -7.785369999997783, -36.12648999999874 -7.78378999999768, -36.12735999999859 -7.769039999999222, -36.11890999999923 -7.751599999997779, -36.11705999999867 -7.734489999998914, -36.10710999999901 -7.724949999997989, -36.10473999999886 -7.717319999997926, -36.13089999999829 -7.667969999998604, -36.12621999999828 -7.659609999998793, -36.12834999999905 -7.650149999997666, -36.12571999999818 -7.644219999998313, -36.13146999999844 -7.638659999998708, -36.12340999999833 -7.635979999999108, -36.11560999999892 -7.640699999998105, -36.10983999999917 -7.636179999997694, -36.11659999999938 -7.630149999999048, -36.11099999999897 -7.623069999997824, -36.10415999999896 -7.629549999997835, -36.10343999999895 -7.619629999999233, -36.09754999999859 -7.623789999997825, -36.09630999999899 -7.616069999998217, -36.09170999999878 -7.61605999999847, -36.08941999999843 -7.61257999999907, -36.08736999999928 -7.61605999999847, -36.07550999999876 -7.613939999999275, -36.07128999999804 -7.612949999998818, -36.07132999999885 -7.603919999997743, -36.0703999999987 -7.601889999998093, -36.06346999999914 -7.607959999999366, -36.06299999999828 -7.603309999998601, -36.05616999999802 -7.601529999998093, -36.05903999999828 -7.597229999999399, -36.05524999999943 -7.588599999999133, -36.05064999999922 -7.591429999998581, -36.03474999999889 -7.588769999998476, -36.03239999999823 -7.58690999999817))",2.1157173865410908,0.0135602344266079,69.67925573842089,95.41646027895979,30.99218872754217,19.2660909276278,23.985065150468486,5.460543405628536,3.5620814193411063,8.710433932384701,7.075843389823691,6.9328409470006855,5.308171072159347,37.79,13.59,10.89,13.39,0.19,0.1,27774.43,0.606,5 473,0.2,5.76,1.9,0.58,5.79,12.110833333333336
6,7,2500577.0,25,PB,Algodão de Jandaíra,Nordeste,2503,Agreste Paraibano,25012,Curimataú Ocidental,0.7975872529160001,0.0180543826001,"POLYGON ((-35.83907999999792 -6.846159999999145, -35.82861999999841 -6.85638999999901, -35.80983999999808 -6.863219999999274, -35.80252999999902 -6.865889999999126, -35.80710999999792 -6.873389999998835, -35.80913999999939 -6.879769999997734, -35.81914999999935 -6.873829999998634, -35.8490499999989 -6.855299999999261, -35.87253999999848 -6.861299999998664, -35.89294999999765 -6.876489999998739, -35.90315999999802 -6.889889999998559, -35.951619999998 -6.890019999998913, -35.94498999999814 -6.901519999999437, -35.95149999999921 -6.909059999998135, -35.96376999999848 -6.922209999998813, -35.9798299999984 -6.924279999999271, -35.98422999999821 -6.931429999998727, -36.01082999999926 -6.943699999997989, -36.0107999999982 -6.947599999997692, -36.01753999999892 -6.952089999998861, -36.01987999999801 -6.961469999998371, -36.04897999999775 -6.977179999998043, -36.05649999999878 -6.97099999999773, -36.07765999999901 -6.970719999999346, -36.11251999999877 -6.930769999999029, -36.09813999999824 -6.923479999997653, -36.07137999999941 -6.906519999998636, -36.05516999999782 -6.893389999999272, -36.03238999999849 -6.881499999997686, -36.02444999999898 -6.879279999999198, -36.00187999999798 -6.869359999998778, -35.93856999999844 -6.828559999998106, -35.93841999999859 -6.828449999999066, -35.92326999999932 -6.814979999999196, -35.91645999999855 -6.795779999998558, -35.89737999999852 -6.793199999998251, -35.89117999999871 -6.793029999998907, -35.86897999999928 -6.816599999998289, -35.84402999999838 -6.836019999998825, -35.83907999999792 -6.846159999999145))",2.054490378725234,0.01375057398084512,69.02477632493384,95.89892669035801,31.405828564721627,19.738200971206986,24.440238513900905,6.220575922774768,4.3187464450138595,9.298646393369175,7.566475495749737,7.619834268933443,5.887415165513122,38.4,14.39,11.34,14.65,0.16,0.11,26923.97,0.552,2 488,0.2,5.87,1.88,0.58,5.86,12.112500000000002
7,8,2500601.0,25,PB,Alhandra,Nordeste,2504,Mata Paraibana,25023,Litoral Sul,0.758516819511,0.01501189745,"POLYGON ((-34.92604999999821 -7.272609999998167, -34.91989999999896 -7.28041999999914, -34.91659999999865 -7.288869999998496, -34.91971999999805 -7.299819999998363, -34.91824999999881 -7.303149999997913, -34.88061999999809 -7.324259999999413, -34.87377999999808 -7.33339999999771, -34.86532999999872 -7.33831999999893, -34.8595299999979 -7.342929999998887, -34.86968999999772 -7.354499999997643, -34.87090999999782 -7.360739999998259, -34.87408999999934 -7.36471999999776, -34.89656999999897 -7.392879999999423, -34.91049999999814 -7.410329999998794, -34.90076999999837 -7.416519999998854, -34.8859199999988 -7.416409999997995, -34.8812199999993 -7.416919999997845, -34.87086999999883 -7.429329999999027, -34.86341999999786 -7.433509999998932, -34.86243999999897 -7.429029999999329, -34.84891999999854 -7.437819999999192, -34.84915999999794 -7.438469999999143, -34.8561499999978 -7.439089999998032, -34.86027999999897 -7.45422999999937, -34.87623999999778 -7.455989999998565, -34.8855599999988 -7.459409999997661, -34.90638999999828 -7.446819999999207, -34.90996999999879 -7.444929999997839, -34.91971999999805 -7.439319999997679, -34.92399999999907 -7.431149999998524, -34.94129999999859 -7.422029999997903, -34.94236999999885 -7.416289999999208, -34.95427999999811 -7.404889999997977, -34.95253999999841 -7.388489999999365, -34.95776999999907 -7.381079999999201, -34.96730999999818 -7.367589999998017, -34.95585999999821 -7.3496899999991, -34.98036999999931 -7.328269999998156, -34.98332999999911 -7.325929999999062, -35.04347999999845 -7.278369999998176, -35.03927999999905 -7.27639999999883, -35.01749999999811 -7.269999999998618, -34.99082999999882 -7.26770999999826, -34.97380999999768 -7.273869999999079, -34.96860999999808 -7.282129999997778, -34.96250999999938 -7.281569999999192, -34.94971999999871 -7.27534999999807, -34.9435199999989 -7.248539999998684, -34.93433999999797 -7.252109999999448, -34.93762999999853 -7.260929999998552, -34.93927999999869 -7.273009999998976, -34.92604999999821 -7.272609999998167))",3.794848395078893,0.01635883661599553,76.59622112317871,100.88007009282309,28.52992198936747,24.794824295758772,26.333673810970645,6.142419308981367,4.56326074514746,7.925961561861798,6.857905011300034,7.059417336993091,5.705406296776937,32.16,14.26,11.55,21.55,0.28,0.29,49898.72,0.606,19 391,0.17,4.88,2.02,0.55,5.33,12.11
8,9,2500700.0,25,PB,São João do Rio do Peixe,Nordeste,2501,Sertão Paraibano,25002,Cajazeiras,1.24971339179,0.038763547200000005,"POLYGON ((-38.34782999999879 -6.580579999998008, -38.34173999999803 -6.581719999998313, -38.33426999999938 -6.577919999997903, -38.34243999999853 -6.59092999999848, -38.34248999999909 -6.602979999997842, -38.35273999999845 -6.614369999999326, -38.35261999999784 -6.619959999998173, -38.34116999999787 -6.628509999998641, -38.34586999999919 -6.636569999998756, -38.35052999999789 -6.659199999998236, -38.35505999999805 -6.680809999998019, -38.3550699999978 -6.681259999999384, -38.35521999999764 -6.693819999998595, -38.35599999999795 -6.75738999999885, -38.3598899999979 -6.762149999998655, -38.37214999999924 -6.772299999998722, -38.35337999999865 -6.771529999998165, -38.3510699999988 -6.793939999997747, -38.351709999999 -6.795799999998053, -38.35273999999845 -6.798789999998917, -38.36309999999867 -6.824169999998048, -38.36374999999862 -6.850659999998243, -38.36387999999897 -6.856019999999262, -38.37008999999853 -6.863909999998214, -38.3577899999982 -6.878769999999349, -38.34848999999849 -6.88064999999915, -38.35615999999936 -6.895339999999123, -38.36315999999897 -6.909839999998439, -38.36937999999827 -6.914129999999204, -38.36537999999928 -6.919609999999011, -38.36736999999812 -6.921119999999064, -38.37849999999889 -6.918699999998353, -38.3805799999991 -6.923799999998664, -38.38294999999925 -6.928199999998469, -38.40136999999777 -6.928779999998369, -38.411329999999 -6.925809999998819, -38.42629999999917 -6.931409999999232, -38.42694999999912 -6.936609999998836, -38.43064999999842 -6.911839999998847, -38.43246999999792 -6.898499999999331, -38.42559999999867 -6.892329999998765, -38.4187099999981 -6.867019999997865, -38.41866999999911 -6.866849999998522, -38.41791999999805 -6.848899999999048, -38.41944999999942 -6.836519999998927, -38.42281999999796 -6.809249999998428, -38.42993999999817 -6.813889999999446, -38.46575999999914 -6.809819999998581, -38.49469999999928 -6.805379999997967, -38.53185999999914 -6.804059999998572, -38.56217999999899 -6.796479999999065, -38.54684999999881 -6.791099999998551, -38.52451999999903 -6.796119999999064, -38.51708999999937 -6.797079999998459, -38.50893999999789 -6.790109999998094, -38.49467999999797 -6.785559999998441, -38.49558999999863 -6.769129999998768, -38.48909999999887 -6.757069999997839, -38.49007999999776 -6.749419999998281, -38.48573999999826 -6.737029999998413, -38.48964999999771 -6.735889999998108, -38.48894999999902 -6.725909999999203, -38.49367999999777 -6.719899999998233, -38.50276999999915 -6.717399999997724, -38.50260999999773 -6.707849999998871, -38.52211999999781 -6.70397999999841, -38.51937999999791 -6.694699999998193, -38.52422999999908 -6.673509999998714, -38.50766999999905 -6.671809999998004, -38.49665999999888 -6.662119999999049, -38.49280999999792 -6.663829999997688, -38.48287999999775 -6.659819999998945, -38.4754099999991 -6.649239999998827, -38.47573999999804 -6.63589999999931, -38.45534999999836 -6.608189999999013, -38.44928999999865 -6.589889999999286, -38.43607999999767 -6.574289999998655, -38.4115299999994 -6.601149999998597, -38.409889999999 -6.599919999998747, -38.3851999999988 -6.581399999999121, -38.36047999999937 -6.5684399999991, -38.34867999999915 -6.573699999999008, -38.34782999999879 -6.580579999998008))",2.215988616834696,0.013115111406192065,57.46288501375968,97.4744083569241,34.23439328579864,21.163572640786946,27.276839617383022,4.215261797414038,2.6373278728765848,8.24555776057024,6.2868942437143565,6.024128734675801,4.360326390544167,39.95,12.9,10.13,15.69,0.06,0.04,28953.6,0.595,2 227,0.17,5.75,1.9,0.58,5.78,12.11
9,10,2500734.0,25,PB,Amparo,Nordeste,2502,Borborema,25010,Cariri Ocidental,0.439098340114,0.01004463465,"POLYGON ((-36.99897999999848 -7.605989999998201, -36.98188999999911 -7.619839999999385, -36.98839999999836 -7.63028999999915, -37.04518999999891 -7.608689999999115, -37.05968999999823 -7.611229999998613, -37.06932999999844 -7.609309999998004, -37.07554999999775 -7.599479999998948, -37.08563999999933 -7.595619999998235, -37.09561999999823 -7.572159999997893, -37.09005999999863 -7.568799999999101, -37.09372999999869 -7.559569999999439, -37.09011999999893 -7.555669999997917, -37.08584999999766 -7.517389999999068, -37.06796999999824 -7.516699999998309, -37.05347999999867 -7.504159999998592, -37.04281999999876 -7.503509999998641, -37.03007999999863 -7.498029999998835, -37.02581999999893 -7.496919999997772, -37.02564999999777 -7.496799999998984, -37.02485999999772 -7.496289999999135, -37.02285999999913 -7.501769999998942, -37.01177999999891 -7.503979999997682, -36.978149999999 -7.542719999997644, -37.00018999999884 -7.563899999999194, -37.00204999999914 -7.56756999999925, -36.99887999999919 -7.574719999998706, -37.00183999999899 -7.579409999998461, -36.99828999999772 -7.584819999998217, -36.99897999999848 -7.605989999998201))",1.8839965545074573,0.012680240498450906,61.52297391085136,94.58902636202434,32.513105052117965,19.110031988560678,24.858057821692924,5.088111886823593,3.696509485480634,8.765935383021604,6.886918776656112,6.773097609863889,5.156111845135102,38.43,13.71,10.98,13.43,0.02,0.06,24644.15,0.603,8 337,0.19,5.97,1.86,0.59,5.9,12.108333333333334
